Number of species	4
Number of genes	117131
Number of genes in orthogroups	102352
Number of unassigned genes	14779
Percentage of genes in orthogroups	87.4
Percentage of unassigned genes	12.6
Number of orthogroups	19249
Number of species-specific orthogroups	3140
Number of genes in species-specific orthogroups	18133
Percentage of genes in species-specific orthogroups	15.5
Mean orthogroup size	5.3
Median orthogroup size	4.0
G50 (assigned genes)	6
G50 (all genes)	5
O50 (assigned genes)	5018
O50 (all genes)	6383
Number of orthogroups with all species present	10290
Number of single-copy orthogroups	4163
Date	2020-08-31
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	5964	31.0	14464	14.1
'1	10566	54.9	51689	50.5
'2	1852	9.6	16732	16.3
'3	442	2.3	5810	5.7
'4	159	0.8	2748	2.7
'5	79	0.4	1690	1.7
'6	45	0.2	1144	1.1
'7	29	0.2	837	0.8
'8	13	0.1	440	0.4
'9	18	0.1	666	0.7
'10	16	0.1	665	0.6
11-15	32	0.2	1673	1.6
16-20	16	0.1	1146	1.1
21-50	16	0.1	2098	2.0
51-100	2	0.0	550	0.5
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	3140
2	3130
3	2689
4	10290
