Accession,Species,Stage,Replicate,NumMap,PctMap,MeanCov,PctExon,PctIntron,PctOther
SRR12244589,S. lycopersicum,3,1,44810687,94.7,167.0745,93.08572052073943,2.5643067662702115,4.349972712990365
SRR12244588,S. lycopersicum,3,2,46577371,95.58,166.8761,93.15405470713651,2.5658766170875156,4.280068675775979
SRR12244587,S. lycopersicum,3,3,39555444,95.33,148.4926,93.10088406231505,2.5721491547819095,4.3269667829030425
SRR12244586,S. lycopersicum,Tr,1,40251641,93.82,144.938,91.92439544616627,3.154561401161895,4.921043152671828
SRR12244625,S. lycopersicum,Tr,2,40114551,93.02,147.5296,92.96681351599409,2.3799759326246197,4.653210551381292
SRR12244624,S. lycopersicum,Tr,3,52513142,94.66,193.8491,90.54801827381209,3.316023613500714,6.135958112687192
SRR12244623,S. lycopersicum,4,1,32441631,95.86,117.7096,90.60468107608324,3.6361045207221703,5.759214403194591
SRR12244622,S. lycopersicum,4,2,21439720,95.99,77.316,91.02575135305352,3.5689515473793594,5.405297099567122
SRR12244621,S. lycopersicum,4,3,28111937,96.09,100.2398,89.77408057651147,4.0747258396416,6.151193583846933
SRR12244620,S. pimpinellifolium,1,1,37494648,87.66,146.2594,90.0096306324255,4.269767425304495,5.720601942270008
SRR12244619,S. pimpinellifolium,1,2,38470400,87.01,144.5655,89.89448060509588,4.311670420311967,5.7938489745921515
SRR12244618,S. pimpinellifolium,1,3,34475728,88.18,138.562,90.25950590722103,4.060728354800652,5.679765737978329
SRR12244617,S. pimpinellifolium,2,1,38638490,87.98,141.229,88.55716396889501,4.787876756221042,6.65495927488395
SRR12244616,S. pimpinellifolium,2,2,42134675,91.46,160.6608,89.9833985334645,4.422331336630571,5.594270129904928
SRR12244614,S. pimpinellifolium,2,3,90782119,88.66,334.9892,88.66004604707054,4.5325287530864085,6.807425199843053
SRR12244613,S. pimpinellifolium,3,1,88769896,95.39,331.5156,92.01531553194708,3.1267010512857505,4.857983416767169
SRR12244612,S. pimpinellifolium,3,2,47612081,95.37,179.504,91.61199902856458,2.9982636174934094,5.38973735394201
SRR12244611,S. pimpinellifolium,3,3,4002281,95.73,15.1018,92.27508182725182,2.9808242023647074,4.744093970383474
SRR12244610,S. pimpinellifolium,Tr,1,46399748,95.89,181.2492,92.95265143563651,2.4050134671187524,4.6423350972447395
SRR12244609,S. pimpinellifolium,Tr,2,48098245,95.77,188.9758,92.70136105960206,2.6666144872620565,4.632024453135884
SRR12244608,S. pimpinellifolium,Tr,3,47567141,96.07,183.9499,93.04164319186636,2.3441494795401563,4.614207328593494
SRR12244607,S. pimpinellifolium,4,1,50828662,92.19,203.0181,91.80476744250602,2.800129211650332,5.395103345843651
SRR12244606,S. pimpinellifolium,4,2,43120639,94.57,169.0757,91.99383683434107,2.8236304547275055,5.182532710931426
SRR12244605,S. pimpinellifolium,4,3,83722136,89.24,356.8565,90.57955511525621,3.248535131131896,6.171909753611885
