"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc09g089530.3",21426.0663139442,10.9333665460758,0.235817579417773,42.1230960414443,0,0
"Solyc12g011010.2",18112.8779790132,7.12916917848814,0.159166406418852,38.5079321471832,0,0
"Solyc04g008900.3",8746.09292308364,9.92227114651745,0.254554320414065,35.0505586862727,3.82348639922964e-269,7.69986436031529e-266
"Solyc08g082670.3",7137.0916465272,9.62741123158392,0.248612377704433,34.7022594419686,7.28366764551814e-264,1.25726508801137e-260
"Solyc07g043000.3",30666.4491923347,6.67213613901091,0.172057518560867,32.9665113530295,2.45374422577896e-238,3.48806958589261e-235
"Solyc12g010980.2",26906.6785589837,8.28869208296059,0.225064978452795,32.3848345178649,4.48790136111615e-230,5.70813812067015e-227
"Solyc09g010210.3",5281.64020782238,5.83841668077534,0.162099606168197,29.8484172488052,9.20392144272278e-196,1.01100893447654e-192
"Solyc09g089510.3",7556.34595523564,9.44525365679211,0.288364074048954,29.2867746602804,1.52855459926476e-188,1.53912710190967e-185
"Solyc01g066560.3",4223.34285354064,6.69986140196567,0.198710264072913,28.6842827599193,5.99251212793661e-181,5.56980954168139e-178
"Solyc10g076250.2",4560.18649218236,6.72988055192064,0.207929246400407,27.5568764428967,3.66062858008683e-167,2.68068940201146e-164
"Solyc04g078470.3",6909.56687646406,7.35429679422048,0.23864237403492,26.6268587878307,3.31796866233405e-156,2.05594950497345e-153
"Solyc03g098710.1",130203.406166212,7.77681094164287,0.255949267705494,26.4771648006453,1.77620838603069e-154,1.04692321601994e-151
"Solyc05g051290.3",6146.76134712374,6.17523722852209,0.198912466740284,26.0176615037372,3.1260961204518e-149,1.75686601969391e-146
"Solyc06g068650.3",7359.63722809154,6.69706717476079,0.228750250907028,24.9051843754098,6.53766620533404e-137,3.09782826506083e-134
"Solyc08g074683.1",33971.8419637691,14.5333094657746,0.549636816512707,24.622276127061,7.29417426293772e-134,3.32586821204062e-131
"Solyc12g096770.1",12829.2134661185,5.20373960602522,0.176618090013283,23.8012969436431,3.23807689481892e-125,1.37283098667007e-122
"Solyc10g086030.2",2127.9872126496,7.1423547161084,0.260301397965872,23.5970869311802,4.12888785306169e-123,1.72032248029463e-120
"Solyc03g113540.3",2238.55087731546,5.39582046154275,0.187968896425327,23.3858928000306,5.94803373177803e-121,2.31839005100239e-118
