"gene_name","fc","pval","qval"
"Solyc00g006820.3",0.0668061813746453,0.00471640931310113,0.11455492375301
"Solyc05g048830.3",7.7888557531838,0.0169808337944789,0.171544816542856
"Solyc05g049990.3",0.0785272035951009,0.00206292954879372,0.090738201790543
"Solyc05g050020.3",1.74690895729286,0.0067818660623773,0.125600499418389
"Solyc05g050830.2",0.0162598115592464,0.0294030604728375,0.20942064131473
"Solyc05g051010.3",0.0646028763669743,6.90141418555612e-05,0.0440920040462989
"Solyc05g051040.3",0.291880630560076,0.0350134543098757,0.224302429206115
"Solyc05g051060.3",0.154969741487301,0.0299566167329934,0.211427334621256
"Solyc05g051200.1",0.13487962678583,0.00592939378411006,0.121709042688004
"Solyc05g051290.3",37.8890831806058,0.00713167681726667,0.128378869284268
"Solyc05g051330.1",0.257050357764397,0.0282632494833487,0.206783447581391
"Solyc05g051400.3",0.317682195219944,0.0140803771012474,0.16221750355926
"Solyc05g051480.2",22.8577175533063,0.0161229445253801,0.169945176728831
"Solyc05g051515.1",3.54537733481731,0.044169901291174,0.243668149004203
"Solyc05g051570.3",0.130782201749988,0.0192576088269074,0.178642027244776
"Solyc05g051660.1",0.0688960828331854,0.00597107530585339,0.121788501367704
"Solyc05g051970.3",7.0338920586645,0.0435965235662363,0.242253924338096
"Solyc05g052070.3",0.422643379636522,0.031480757117286,0.213773661951945
"Solyc05g052500.3",0.0305102515772668,0.00427550200256632,0.111163241230963
"Solyc05g052550.1",10.8138376563129,0.0434597613962935,0.242241817403473
"Solyc05g052560.1",9.52439216369745,0.0150450826943722,0.166306116035996
"Solyc05g052570.3",10.6045330173646,0.0155889648974735,0.169031043448101
"Solyc05g052650.2",0.0199720420878705,0.00928522974015578,0.140488825734577
"Solyc05g052660.1",0.0152836137732546,0.0315803746754009,0.213773661951945
"Solyc05g052700.3",4.37444182216337,0.00308835900234539,0.0998749621349288
"Solyc05g052720.1",0.327512350644098,0.0394073634383529,0.234461120875772
"Solyc05g052715.1",2.68398720343856,0.0195461828714436,0.179264292856914
"Solyc05g052950.3",12.6531115090804,0.00654826502324568,0.124072831767369
"Solyc05g052970.3",0.243826065329597,0.00909076045694168,0.140324664319263
"Solyc05g053120.1",79.7144031849865,0.0199616914459494,0.180879115806061
"Solyc01g079980.3",9.85078235301629,0.00277811471654021,0.098088215199201
"Solyc05g053300.3",0.399985584349733,0.0476072609320017,0.252128197310236
"Solyc05g053360.3",0.473795220526649,0.0058178395157904,0.121040233799009
"Solyc01g080010.2",0.163897451042544,0.0288240743498958,0.207901900838023
"Solyc05g053400.2",467.408058569786,0.0219533480940601,0.186281348038462
"Solyc05g053540.3",0.468268124732789,0.00731501322712425,0.12931648383214
"Solyc05g053550.3",0.226066940839746,0.0331318551145633,0.218206634018775
"Solyc05g053810.3",0.227568644378494,0.00307519312950943,0.0996968755083913
"Solyc05g053890.2",6.1345510794025,0.00778381537864625,0.132531114609462
"Solyc05g053900.3",3.61530891254163,0.0204352624790735,0.182648402830592
"Solyc05g053930.3",2.25185477364938,0.0448118486401635,0.245195968549788
"Solyc05g053950.3",0.221307322380718,0.0147364207470102,0.164784473574212
"Solyc05g054040.3",0.159292835998796,0.00349568715448667,0.10264946591426
"Solyc01g080100.3",11.9511549190714,0.0149793702800411,0.165827800276201
"Solyc05g054090.3",0.00720206464562646,0.0217566050912239,0.18547352054673
