"","ProbeName","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"42363","A_96_P188039","Solyc09g072620.4.1",0.824403634118853,8.37390799794423,4.6864279007473,0.00142610403948558,0.0188104689089539,-1.0731390215234
"7688","A_96_P172779","Solyc01g010490.4.1",1.03273196328367,11.3157854357214,4.68623651121528,0.0014264667643325,0.0188104689089539,-1.07340613304391
"27130","A_96_P253097","Solyc12g044930.3.1",0.951843800830222,7.95660965814347,4.68483640439193,0.00142912331237389,0.0188104689089539,-1.07536034723917
"11808","A_96_P211279","Solyc03g079930.3.1",-0.569589225238782,12.627032631094,-4.68453806791377,0.00142969006500567,0.0188104689089539,-1.07577679099442
"17388","A_96_P032476","Solyc02g093700.3.1",0.75105350740303,6.35499046529192,4.68433123457389,0.00143008313111746,0.0188104689089539,-1.07606551449869
"17532","A_96_P036891","Solyc08g082010.3.1",-0.874045312530783,9.37600000933982,-4.68417537361837,0.00143037940661837,0.0188104689089539,-1.07628308862972
"3466","A_96_P015946","Solyc01g097460.3.1",-1.04761940753971,10.9868976020611,-4.68203523073818,0.00143445432535842,0.0188382510580586,-1.07927098413644
"5868","A_96_P210274","Solyc10g012400.3.1",1.00924514167583,7.36478314008879,4.68067631116728,0.00143704828718658,0.0188594170293796,-1.08116854932894
"14189","A_96_P075444","Solyc03g093690.3.1",-0.671648668946509,11.1284903534254,-4.67990266463728,0.00143852732425023,0.0188659321213146,-1.08224897394942
"36591","A_96_P074614","Solyc02g087930.3.1",-0.635802030416009,12.6289952804828,-4.67811677159651,0.00144194784552131,0.0188849922469367,-1.08474337372977
"16059","A_96_P157671","Solyc07g008180.4.1",1.59293092770648,8.17173697594372,4.71011445161286,0.0014679310529817,0.0190434298765194,-1.08501452348235
"13818","A_96_P031346","Solyc08g068880.1.1",0.804903215701979,11.1799126170662,4.67726566345874,0.00144358107078406,0.0188934945869489,-1.0859323025282
"29879","A_96_P077344","Solyc06g065950.4.1",1.76208359030189,7.41785100657651,4.72232815781642,0.00148154702639159,0.0191721383237815,-1.08696325308566
"21297","A_96_P028281","Solyc05g026560.3.1",-0.712957185565992,9.16769179628653,-4.67644566062843,0.00144515650149904,0.0188999228058841,-1.08707788083471
"22779","A_96_P075819","Solyc05g053930.4.1",0.647837990182137,5.66535197420511,4.6757247257503,0.00144654313576562,0.0188999228058841,-1.08808513901221
"12092","A_96_P184189","Solyc01g088480.3.1",0.747374959794703,10.2199474854175,4.67547419494337,0.0014470253398255,0.0188999228058841,-1.08843518747673
"14796","A_96_P237139","Solyc06g073460.4.1",0.64398579683817,15.2077108111711,4.67359209279796,0.00145065344729396,0.018934429767535,-1.09106520790254
"34240","A_96_P086824","Solyc02g080530.3.1",1.71297667988207,9.18202790731294,4.73447402317089,0.00150849046552289,0.0194122097439943,-1.09549993499491
"17689","A_96_P253407","Solyc03g025310.3.1",-0.537860541104345,10.8406162441966,-4.66995057277237,0.001457701159392,0.0190134933833739,-1.09615529513991
"25754","A_96_P180464","Solyc03g063240.3.1",-0.600868547447434,12.1944709423228,-4.66743274292433,0.00146259578069396,0.0190242509367689,-1.09967584090429
"31715","A_96_P212239","Solyc09g090380.1.1",0.804688203963435,9.17693227927755,4.66732513060707,0.00146280537343767,0.0190242509367689,-1.09982633023801
"26940","A_96_P232299","Solyc10g050850.2.1",0.716134316519742,7.0617881142117,4.66722429037145,0.00146300180594669,0.0190242509367689,-1.09996735077383
"3559","A_96_P010421","Solyc10g006290.3.1",-0.51813949678887,12.0827628164598,-4.66711745843019,0.00146320994119775,0.0190242509367689,-1.10011675207626
"14949","A_96_P173394","Solyc02g084430.3.1",1.08466095839086,7.6478349007048,4.66697879641894,0.00146348013716707,0.0190242509367689,-1.1003106692975
"18511","A_96_P180314","Solyc01g087540.4.1",0.904084439927505,7.23886478134658,4.666452563358,0.00146450604336575,0.0190247063820179,-1.10104662595035
"28206","A_96_P042101","Solyc10g005670.3.1",0.48981958725134,13.1840791618794,4.66524265678985,0.00146686774445941,0.0190425021593108,-1.10273888047312
"18108","A_96_P111062","Solyc01g099970.4.1",-0.879994765339297,7.6636300564535,-4.66370905680679,0.0014698672123348,0.0190485400358492,-1.1048841839447
"29209","A_96_P011291","Solyc01g091170.3.1",1.25663011236756,9.70774208786362,4.67557146969679,0.00148198677181956,0.0191721383237815,-1.10611581050793
"5529","A_96_P224824","Solyc10g006270.4.1",1.08094453339881,10.1002939103137,4.65711241174508,0.00148284507347998,0.0191721383237815,-1.11411597029534
"36255","A_96_P121972","Solyc02g072190.4.1",-2.16107137003483,7.97895252526709,-4.72149971328599,0.00153814101762321,0.0197013392517449,-1.11514073139878
"9984","A_96_P120092","Solyc03g120500.4.1",1.03937991482915,7.7501206472164,4.65623047108799,0.00148458953212154,0.0191817759197399,-1.11535070304545
"15663","A_96_P013966","Solyc10g075100.2.1",2.56944120809845,9.60653421815178,4.72068673273359,0.00153974319111371,0.0197050294043833,-1.11623893762719
"43875","A_96_P049031","Solyc01g088480.3.1",0.748507140921948,8.90878806361584,4.65558885844947,0.00148586002325323,0.0191852807306403,-1.11624904427205
"19779","A_96_P042776","Solyc06g048920.4.1",-0.845555267864826,8.45318870093078,-4.6515616347391,0.00149386146757965,0.0192756318397374,-1.12188906680818
"34729","A_96_P143736","Solyc11g072710.3.1",0.684454492833654,5.65743441373928,4.64853382756672,0.00149990794333396,0.0193406531309685,-1.12613100560132
"20890","A_96_P193109","Solyc03g098795.1.1",-1.42751809872406,5.72011373240064,-4.69152505745273,0.00154186053874333,0.0197074684881742,-1.12900019770625
"19697","A_96_P021851","Solyc10g081330.3.1",0.738080006510567,11.1558929036652,4.64613540089914,0.00150471635944107,0.0193890604512482,-1.12949214456191
"19486","A_96_P053801","Solyc12g056740.2.1",-0.872994973020484,9.36732818479154,-4.64565487840402,0.00150568172566724,0.0193890604512482,-1.1301656473968
"35237","A_96_P094624","Solyc07g066470.3.1",-0.532556505947487,12.4507178292295,-4.64352525182713,0.00150996820570912,0.0194182113527228,-1.13315095230832
"20216","A_96_P139482","Solyc12g008840.2.1",1.22669385434988,12.2307241883269,4.69316791651648,0.00155991414514132,0.0197982836308141,-1.13696407552162
"7513","A_96_P026111","Solyc06g073270.4.1",0.478575469038392,12.4733870224316,4.63903211883754,0.0015190553046116,0.0195219958825587,-1.1394516044388
