Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
RSeQC_ERR2809799	25478003	27347340	22690845	33462338	11842626	353.91	3076919	4640399	1508.13	4707404	2892490	614.46	19085604	105001	5.5	18882508	1260	0.07	0.13	0.15	14651503	2035716	138.94	89.62	70.91	4656495	43.30448957741411	16.968374255046378	10.576860491733383	0.38395324737250497	0.004607395088516836	0.01836741708700005	0.025867232425530233	7.443926904773919	11.702856658088136	11.713223297037299	17.027231898970797	6901162	20811644	2051	3763	9462954	21060883	2835	1164704
RSeQC_ERR2809800	12450778	13918868	13202948	33462338	9926138	296.64	3076919	1161887	377.61	4707404	1676808	356.21	19085604	46535	2.44	18882508	731	0.04	0.08	0.09	14651503	238742	16.29	10.78	8.58	715920	71.31426205062078	8.347568207414568	12.0470141681062	0.33433034927840394	0.005251863872837935	0.02273173364385667	0.028967872962082836	1.715240061188884	2.7668054614786204	2.7843356226957536	5.143521728922209	6901162	20811644	868	2433	9462954	21060883	2440	146366
RSeQC_ERR2809801	11232401	12565621	11923365	33462338	8972098	268.13	3076919	1042799	338.91	4707404	1511734	321.14	19085604	41154	2.16	18882508	588	0.03	0.07	0.08	14651503	214294	14.63	9.79	7.79	642256	71.4019466288216	8.2988258200689	12.030714598188183	0.32751266332161383	0.004679434466470062	0.022147731496915273	0.028331269899036428	1.7053991999281215	2.78350747647092	2.8014532668142706	5.1112157528863875	6901162	20811644	777	2195	9462954	21060883	2255	135471
RSeQC_ERR2809802	11982498	12540699	9876165	33462338	3736644	111.67	3076919	3637603	1182.22	4707404	849460	180.45	19085604	24095	1.26	18882508	372	0.02	0.04	0.04	14651503	1006646	68.71	45.51	36.0	2664534	29.796138157849093	29.00638154220909	6.773625616881483	0.19213442568073757	0.002966341828314355	0.011275288562463702	0.014855631253090439	8.027032623939064	12.961271138076116	12.969771461702415	21.24709316442409	6901162	20811644	449	1042	9462954	21060883	1066	618788
RSeQC_ERR2809803	10620649	11117347	8761556	33462338	3316526	99.11	3076919	3221991	1047.15	4707404	752617	159.88	19085604	20876	1.09	18882508	308	0.02	0.03	0.04	14651503	886939	60.54	40.52	32.05	2355791	29.831991391471362	28.98165362653518	6.769753611180797	0.18777861300902093	0.0027704451430723537	0.011081780572289415	0.014967599734001287	7.977973521920292	13.014759726398752	13.02362874883729	21.190226409232345	6901162	20811644	432	924	9462954	21060883	986	559957
RSeQC_ERR2809804	10176363	10504904	7616938	33462338	2161699	64.6	3076919	3218025	1045.86	4707404	508584	108.04	19085604	13149	0.69	18882508	189	0.01	0.02	0.02	14651503	1039320	70.94	47.99	37.95	2887966	20.577998618549962	30.63354981635244	4.841395980391634	0.12517011102624068	0.0017991597067426794	0.007615490822191235	0.010404664335818775	9.893664901649744	16.313476067939316	16.319882599593484	27.491598209750418	6901162	20811644	293	611	9462954	21060883	673	674395
RSeQC_ERR2809805	8965719	9253512	6710077	33462338	1900606	56.8	3076919	2833464	920.88	4707404	447017	94.96	19085604	11222	0.59	18882508	166	0.01	0.02	0.02	14651503	908775	62.03	42.46	33.58	2543435	20.53929362170817	30.620417415571517	4.8307820857637624	0.12127287455832986	0.0017939134892784492	0.007629535683316778	0.010017818099765798	9.820865850717004	16.385540970822753	16.392057415606097	27.486158768692366	6901162	20811644	221	540	9462954	21060883	603	607463
RSeQC_ERR2809806	28323648	30471611	26771505	33462338	14557746	435.05	3076919	5340662	1735.72	4707404	4282374	909.71	19085604	171552	8.99	18882508	2231	0.12	0.17	0.2	14651503	1526514	104.19	67.39	53.34	3700106	47.77478289546293	17.526680817761818	14.053651446259273	0.5629895971040061	0.007321568918689595	0.022604646666039414	0.030562873751571587	5.009626829378991	7.897619853443259	7.908534931087169	12.142797438573234	6901162	20811644	2425	4657	9462954	21060883	3326	880018
RSeQC_ERR2809807	23346199	25428069	23522080	33462338	14765935	441.27	3076919	2257361	733.64	4707404	5208845	1106.52	19085604	166469	8.72	18882508	1760	0.09	0.16	0.2	14651503	692812	47.29	31.11	24.67	1905989	58.069431068477904	8.877437763756264	20.484626654112038	0.6546663059629105	0.00692148507226404	0.025267353175736626	0.03579902193910202	2.724595406753065	4.369698697923149	4.382428724729353	7.495610461022424	6901162	20811644	2678	4665	9462954	21060883	3237	418318
RSeQC_ERR2809808	24996677	26954898	24310414	33462338	13838369	413.55	3076919	3160309	1027.1	4707404	5466692	1161.3	19085604	172494	9.04	18882508	1947	0.1	0.17	0.21	14651503	1044339	71.28	46.47	36.8	2644484	51.338977428146826	11.72443316238852	20.28088549991916	0.6399356436073325	0.00722317702704718	0.02489343495197051	0.03685415541175485	3.8743941824599	6.156932962610358	6.168140573190075	9.810773537336331	6901162	20811644	3224	4763	9462954	21060883	3021	615256
RSeQC_ERR2809809	10939844	11741416	10387377	33462338	6240997	186.51	3076919	1512674	491.62	4707404	1754094	372.62	19085604	38177	2.0	18882508	437	0.02	0.04	0.05	14651503	525626	35.88	23.47	18.58	1354039	53.153699690054424	12.883233163700186	14.939373581516916	0.3251481763358014	0.0037218679586857326	0.013201133491905917	0.018592306072793947	4.47668322117196	7.138312789530667	7.147792055063887	11.532161027255997	6901162	20811644	633	1113	9462954	21060883	1113	312513
